#timestamp tx ty tz qx qy qz qw
1737454493.197005333 -0.003525181 -0.014807079 -0.001079156 -0.016358169 0.878568456 -0.476443744 -0.029175984
1737454493.230372000 -0.003740556 -0.014919663 -0.000981085 -0.016861910 0.877006554 -0.479100057 -0.032222899
1737454493.263738666 -0.003840734 -0.012502624 -0.002520248 -0.020413161 0.874902981 -0.482260548 -0.039406086
1737454493.297105333 -0.001047240 -0.019031792 -0.006486110 -0.024219593 0.872298830 -0.486199775 -0.046021095
1737454493.797605333 0.037672171 -0.115069947 -0.038401931 -0.028853061 0.870355418 -0.487167590 -0.065701496
1737454494.231372000 0.039412359 -0.175421564 -0.052293470 -0.017545533 0.852839375 -0.515900612 -0.078763657
1737454494.698505333 0.054556218 -0.229197736 -0.041670517 0.019268410 0.867201665 -0.491176701 -0.079595527
1737454495.165638666 0.060881652 -0.295859241 -0.047174315 0.087695403 0.913426691 -0.393532208 -0.055620114
1737454495.866338666 0.044580082 -0.317015600 -0.078760068 0.151796943 0.936314823 -0.316509961 -0.009679119
1737454498.835971700 0.078407733 -0.325930847 -0.085917435 0.241609579 0.936627304 -0.252737877 -0.021855679
1737454499.770238666 0.075841234 -0.370134516 -0.014567566 0.247188750 0.936149199 -0.242399869 0.061357173
1737454500.637772000 0.086510364 -0.395680028 0.032815076 0.239801414 0.937332430 -0.240248977 0.078636039
1737454500.938072000 0.112060889 -0.377697853 0.043441883 0.233130976 0.931072710 -0.274185908 0.059796701
1737454501.605405333 0.220554054 -0.355312873 0.110626335 0.261432973 0.928118930 -0.264100936 -0.022332689
1737454502.472938666 0.247765597 -0.326759273 0.197302782 0.239756090 0.925853140 -0.290230451 -0.032852197
1737454503.40172000 0.274553065 -0.288744554 0.210760349 0.251807950 0.936399504 -0.244435207 -0.000392650
1737454503.874338666 0.315027785 -0.226290301 0.165845209 0.227501666 0.937802986 -0.258781636 0.042433658
1737454504.308105333 0.351514931 -0.150622984 0.145527610 0.232343426 0.941218849 -0.243606564 0.027918670
1737454505.475938666 0.412042204 -0.056460946 0.162666367 0.246775365 0.912559042 -0.326087142 -0.002255880
1737454507.177638666 0.416026730 0.011354321 0.147387891 0.241386774 0.919838290 -0.309205375 0.004688416
1737454513.116905333 0.366734137 -0.077136508 0.098695967 0.230748501 0.878926321 -0.417038094 0.017968858
